path_length, path_cost
454.1564209736054,919.0
443.4284989122474,923.0
442.70057685088943,936.0
444.94321753800887,918.0
450.0142853498743,940.0
455.0853531617398,914.0
448.2569260369936,929.0
453.8132752230977,930.0
453.6711395993667,944.0
454.39906166072467,903.0
444.11479041326254,926.0
454.4995667241129,926.0
435.629509039024,932.0
446.6000717875012,935.0
432.0142853498743,918.0
452.2569260369937,927.0
455.67113959936677,933.0
474.29855659733647,922.0
453.91378028648603,934.0
451.32799384885914,926.0
441.8721497261432,949.0
445.4284989122474,910.0
445.6711395993667,916.0
443.1858582251281,922.0
451.08535316173976,915.0
443.18585822512813,927.0
452.9848480983515,909.0
453.4284989122474,923.0
447.6711395993667,921.0
445.6711395993667,910.0
438.3574311003819,938.0
446.5411972844557,910.0
448.4579361637702,943.0
452.15642097360535,922.0
449.4284989122474,927.0
439.4284989122474,927.0
451.1858582251282,940.0
437.42849891224733,928.0
455.4284989122474,926.0
455.18585822512813,936.0
452.499566724113,921.0
445.771644662755,930.0
452.15642097360535,920.0
440.35743110038186,939.0
445.91378028648603,920.0
444.8427124746205,942.0
452.39906166072467,922.0
0.0,0.0
464.39906166072467,922.0
442.8427124746205,920.0
443.18585822512813,935.0
447.18585822512813,929.0
449.0853531617398,932.0
455.2274887854709,918.0
451.0853531617399,932.0
457.08535316173976,921.0
444.8843430349633,919.0
440.8427124746205,916.0
466.0142853498744,932.0
442.84271247462055,930.0
462.641702347844,931.0
457.4701294725902,916.0
440.70057685088943,931.0
441.6711395993667,928.0
460.88434303496325,932.0
456.7422074112322,918.0
454.15642097360535,925.0
444.0142853498743,929.0
463.4701294725902,918.0
457.3279938488592,926.0
456.98484809835156,899.0
447.67113959936677,928.0
444.01428534987434,913.0
449.1269837220826,910.0
446.84271247462055,937.0
456.1564209736053,918.0
443.77164466275497,936.0
455.77164466275497,957.0
434.0142853498743,924.0
448.74220741123224,912.0
468.15642097360535,926.0
432.1147904132626,945.0
442.01428534987434,933.0
442.2569260369936,930.0
441.67113959936677,942.0
442.8427124746205,936.0
448.1147904132626,939.0
439.1858582251281,927.0
441.4284989122474,928.0
438.39906166072467,909.0
456.39906166072467,921.0
465.57063453597846,930.0
446.49956672411287,933.0
440.8427124746205,919.0
449.4284989122474,931.0
451.91378028648603,924.0
447.4284989122474,927.0
452.05591591021704,909.0
456.4995667241129,928.0
456.15642097360535,915.0
443.67113959936665,925.0
448.15642097360535,922.0
464.0559159102171,917.0
452.49956672411287,938.0
452.0142853498744,927.0
454.1564209736053,928.0
441.5290039756357,935.0
460.4995667241129,933.0
460.98484809835156,913.0
457.0853531617398,930.0
446.64170234784393,906.0
448.74220741123224,911.0
442.35743110038186,935.0
448.60007178750124,930.0
448.4995667241129,920.0
445.0853531617398,927.0
457.8132752230977,914.0
452.98484809835156,906.0
443.8721497261433,950.0
455.8132752230978,916.0
447.32799384885914,927.0
449.57063453597846,926.0
446.6000717875013,936.0
451.4284989122474,924.0
448.25692603699355,925.0
438.6000717875012,914.0
442.2569260369936,905.0
450.3990616607247,906.0
438.2569260369936,917.0
447.4284989122474,924.0
441.18585822512813,948.0
459.57063453597846,921.0
455.6711395993667,938.0
442.11479041326254,945.0
442.8427124746205,920.0
452.98484809835156,913.0
441.5290039756357,940.0
453.52900397563565,936.0
442.9432175380088,938.0
441.91378028648603,918.0
447.32799384885914,924.0
449.91378028648603,922.0
442.8427124746205,920.0
439.77164466275497,940.0
468.74220741123236,940.0
447.42849891224745,916.0
452.84271247462044,930.0
442.25692603699366,919.0
459.2863632885164,948.0
448.74220741123224,915.0
447.77164466275497,926.0
442.15642097360535,918.0
451.57063453597846,927.0
438.4995667241129,910.0
462.3990616607246,923.0
449.32799384885925,933.0
439.771644662755,928.0
457.2274887854709,924.0
442.45793616377006,942.0
455.57063453597846,931.0
442.1564209736053,911.0
428.8427124746205,908.0
460.6000717875012,938.0
440.84271247462044,916.0
454.8427124746205,941.0
439.6711395993667,913.0
440.8427124746205,928.0
436.2152954766508,941.0
0.0,0.0
443.0853531617398,926.0
441.77164466275497,932.0
442.7422074112323,912.0
453.87214972614333,959.0
434.35743110038186,933.0
459.57063453597846,918.0
442.3574311003818,926.0
461.67113959936677,940.0
0.0,0.0
443.9137802864861,907.0
451.52900397563565,939.0
455.0853531617398,941.0
445.08535316173976,915.0
450.98484809835156,906.0
450.4995667241129,921.0
454.25692603699355,931.0
448.0142853498743,938.0
440.01428534987434,929.0
452.0559159102171,900.0
456.74220741123236,925.0
460.7422074112323,924.0
451.32799384885914,942.0
460.4995667241129,924.0
433.18585822512813,930.0
448.45793616377017,947.0
436.94321753800875,932.0
468.8843430349633,935.0
451.9137802864861,908.0
445.1858582251281,930.0
461.2274887854709,949.0
453.32799384885914,923.0
439.18585822512813,917.0
453.8132752230978,927.0
461.2274887854708,920.0
451.2274887854709,928.0
432.45793616377017,939.0
456.8427124746205,946.0
456.3574311003819,940.0
455.771644662755,939.0
449.5706345359784,918.0
451.42849891224745,939.0
451.6711395993667,925.0
442.2569260369936,917.0
448.94321753800875,941.0
444.74220741123224,938.0
453.91378028648603,911.0
447.5290039756357,936.0
452.0142853498743,936.0
440.2569260369936,906.0
450.2569260369936,936.0
448.8427124746205,925.0
456.98484809835156,915.0
463.0853531617399,949.0
469.9554108468288,904.0
450.74220741123224,922.0
460.9848480983515,917.0
452.4995667241129,928.0
0.0,0.0
442.641702347844,901.0
452.49956672411287,926.0
444.8427124746205,918.0
444.25692603699366,921.0
447.6711395993667,916.0
434.4995667241129,911.0
442.357431100382,934.0
452.15642097360535,925.0
453.67113959936677,941.0
452.98484809835156,910.0
444.35743110038186,933.0
446.35743110038186,947.0
456.25692603699366,930.0
449.3279938488592,919.0
444.2569260369936,918.0
447.6711395993667,927.0
453.6711395993667,925.0
447.0853531617398,915.0
454.4995667241129,938.0
449.8132752230978,919.0
0.0,0.0
458.74220741123224,940.0
457.2274887854709,926.0
445.771644662755,919.0
445.8132752230978,904.0
434.3574311003819,919.0
451.6711395993668,927.0
439.0853531617398,919.0
444.4995667241129,907.0
453.8132752230977,907.0
440.39906166072467,923.0
441.6711395993667,916.0
0.0,0.0
457.67113959936665,921.0
447.42849891224745,922.0
453.57063453597846,910.0
450.25692603699366,933.0
470.15642097360535,923.0
446.9848480983515,926.0
447.42849891224745,938.0
446.2569260369936,922.0
457.91378028648603,938.0
454.15642097360535,933.0
444.4995667241129,926.0
436.0142853498743,916.0
451.0853531617398,929.0
437.91378028648603,907.0
441.771644662755,931.0
447.57063453597846,924.0
443.6711395993667,938.0
444.60007178750124,933.0
460.6417023478439,915.0
441.4284989122474,927.0
471.4701294725902,949.0
438.6000717875012,922.0
433.1858582251281,919.0
456.84271247462055,935.0
462.7422074112323,922.0
451.8132752230977,913.0
441.3279938488591,911.0
452.6000717875012,922.0
449.1858582251282,926.0
449.91378028648603,921.0
442.0142853498743,914.0
441.67113959936677,941.0
452.01428534987434,937.0
441.4284989122474,918.0
451.8132752230977,915.0
450.499566724113,918.0
442.4995667241129,915.0
450.0142853498743,917.0
445.67113959936677,926.0
436.60007178750124,926.0
0.0,0.0
440.25692603699355,919.0
439.0853531617398,911.0
458.2569260369936,935.0
455.4284989122474,926.0
453.67113959936665,945.0
451.771644662755,936.0
458.15642097360524,908.0
445.913780286486,914.0
447.0853531617399,913.0
443.6711395993667,909.0
461.57063453597846,934.0
456.60007178750124,930.0
454.01428534987434,950.0
456.1564209736054,938.0
443.6711395993667,927.0
453.91378028648603,924.0
453.22748878547094,933.0
439.4284989122474,917.0
443.1858582251281,915.0
445.4284989122474,934.0
437.52900397563576,932.0
460.641702347844,909.0
471.1269837220827,920.0
457.0853531617398,929.0
459.22748878547077,913.0
448.25692603699355,919.0
448.25692603699366,932.0
447.57063453597846,907.0
438.9432175380088,926.0
448.8427124746205,917.0
445.4284989122474,924.0
454.2985565973364,917.0
455.67113959936677,927.0
434.35743110038186,935.0
452.2569260369936,923.0
443.42849891224745,927.0
467.8132752230978,930.0
444.8427124746205,931.0
0.0,0.0
450.74220741123224,909.0
455.32799384885914,922.0
453.8132752230977,921.0
457.4284989122475,948.0
437.8721497261432,934.0
444.8427124746205,914.0
434.60007178750124,933.0
474.3990616607248,945.0
454.84271247462055,935.0
452.0142853498743,930.0
435.77164466275497,909.0
453.18585822512813,933.0
445.91378028648603,917.0
439.4284989122474,916.0
449.913780286486,915.0
453.6711395993667,936.0
438.2569260369936,900.0
459.0853531617399,924.0
449.1858582251281,928.0
448.0142853498743,938.0
446.64170234784393,929.0
441.6711395993667,911.0
436.11479041326254,940.0
460.4995667241129,930.0
451.28636328851644,933.0
439.42849891224745,932.0
468.05591591021715,923.0
449.91378028648603,926.0
446.2569260369936,926.0
461.9137802864861,929.0
445.32799384885914,913.0
446.94321753800875,940.0
460.60007178750124,936.0
435.1858582251281,922.0
445.42849891224745,921.0
449.77164466275497,932.0
449.57063453597846,918.0
439.8721497261433,934.0
456.4995667241129,919.0
452.357431100382,949.0
467.2274887854709,926.0
449.4284989122474,934.0
450.6000717875011,941.0
439.1858582251281,931.0
444.4995667241129,921.0
445.6711395993667,914.0
449.1858582251281,938.0
436.9432175380088,938.0
454.2569260369936,932.0
0.0,0.0
440.25692603699355,923.0
444.9432175380088,942.0
455.18585822512813,944.0
444.0142853498743,936.0
455.2274887854709,915.0
449.1858582251281,930.0
457.2274887854709,927.0
441.77164466275497,926.0
458.15642097360535,923.0
455.91378028648603,928.0
451.32799384885914,923.0
454.8427124746205,930.0
444.9432175380088,933.0
440.0142853498743,922.0
445.0853531617398,928.0
453.0853531617398,916.0
448.84271247462055,922.0
452.25692603699366,925.0
455.57063453597846,926.0
464.01428534987434,937.0
447.0853531617398,920.0
459.8132752230977,946.0
445.2274887854709,899.0
452.2569260369936,925.0
444.49956672411287,926.0
459.1858582251281,939.0
439.6711395993667,926.0
456.49956672411287,921.0
457.9137802864861,935.0
442.0142853498743,940.0
443.77164466275497,938.0
440.6000717875012,931.0
454.4995667241129,914.0
445.5706345359785,936.0
454.8427124746205,920.0
468.3990616607247,937.0
450.6000717875011,929.0
452.2569260369936,926.0
446.6000717875012,921.0
435.1858582251281,938.0
452.0142853498743,936.0
459.57063453597846,918.0
452.15642097360535,919.0
457.2274887854709,931.0
438.3574311003819,923.0
446.499566724113,920.0
456.2569260369936,929.0
456.60007178750124,925.0
438.6000717875012,926.0
448.60007178750124,931.0
458.74220741123224,926.0
445.91378028648603,918.0
440.60007178750124,925.0
451.1858582251281,949.0
446.0142853498743,933.0
450.6000717875012,944.0
0.0,0.0
448.94321753800875,945.0
464.641702347844,924.0
435.18585822512813,923.0
465.8132752230978,925.0
458.641702347844,915.0
459.9137802864861,928.0
460.98484809835156,922.0
463.47012947259026,924.0
454.4995667241129,924.0
440.74220741123224,910.0
457.47012947259014,918.0
459.57063453597846,930.0
446.499566724113,924.0
443.32799384885914,907.0
0.0,0.0
444.9432175380087,933.0
448.15642097360535,927.0
449.0853531617398,930.0
462.39906166072467,944.0
446.4995667241129,912.0
451.4284989122474,940.0
450.2569260369936,932.0
449.3279938488591,915.0
436.641702347844,900.0
451.0853531617398,936.0
455.18585822512813,943.0
453.6711395993667,926.0
448.6000717875011,935.0
460.98484809835156,917.0
435.77164466275497,927.0
449.42849891224733,935.0
444.4995667241129,914.0
458.641702347844,917.0
457.91378028648603,923.0
460.74220741123224,926.0
452.74220741123224,922.0
0.0,0.0
446.4995667241129,927.0
440.0142853498743,922.0
449.91378028648603,918.0
438.84271247462055,925.0
436.2569260369936,915.0
443.1858582251281,935.0
441.2274887854708,908.0
439.0853531617398,905.0
441.52900397563565,938.0
448.15642097360535,915.0
454.3574311003819,937.0
453.0853531617398,934.0
443.67113959936665,921.0
466.0559159102172,935.0
448.01428534987434,940.0
448.3574311003819,949.0
451.32799384885914,909.0
433.77164466275497,921.0
468.8843430349633,909.0
455.57063453597846,933.0
449.6711395993667,935.0
458.0142853498743,948.0
449.0853531617398,919.0
448.499566724113,915.0
0.0,0.0
441.0437226013972,928.0
459.6711395993668,943.0
439.6711395993667,928.0
453.4284989122474,932.0
447.1858582251281,929.0
458.8427124746206,945.0
446.6000717875012,932.0
449.2274887854709,914.0
452.35743110038186,933.0
454.74220741123224,916.0
447.1858582251281,932.0
455.3279938488591,943.0
437.0853531617399,918.0
445.52900397563576,931.0
450.4995667241129,934.0
441.18585822512813,937.0
451.91378028648603,929.0
461.57063453597846,926.0
449.771644662755,944.0
447.9137802864861,932.0
436.60007178750124,931.0
449.771644662755,944.0
448.98484809835156,919.0
443.3279938488591,925.0
473.1269837220826,916.0
432.94321753800875,943.0
443.6711395993667,913.0
440.9432175380088,938.0
451.57063453597846,918.0
0.0,0.0
462.15642097360535,936.0
451.4284989122474,929.0
454.01428534987434,929.0
445.7716446627551,932.0
442.0142853498743,924.0
451.6711395993667,917.0
0.0,0.0
453.67113959936677,935.0
443.52900397563565,933.0
439.3279938488591,903.0
456.2569260369936,936.0
451.3279938488591,926.0
453.57063453597846,912.0
451.0853531617399,920.0
456.64170234784405,922.0
457.3279938488591,907.0
447.6711395993667,916.0
454.01428534987434,949.0
449.6711395993667,942.0
444.1564209736054,914.0
450.0142853498743,932.0
431.77164466275497,930.0
451.4701294725902,920.0
467.47012947259014,915.0
459.32799384885914,928.0
453.67113959936677,927.0
442.70057685088955,935.0
446.11479041326254,944.0
446.8427124746205,931.0
445.6711395993667,919.0
452.7422074112322,905.0
450.49956672411287,939.0
444.499566724113,930.0
437.913780286486,905.0
0.0,0.0
459.32799384885914,930.0
452.4995667241129,932.0
437.7716446627549,926.0
443.77164466275497,926.0
448.6000717875012,929.0
449.3279938488591,929.0
457.0853531617398,935.0
453.6711395993667,946.0
446.8427124746205,923.0
444.6000717875012,926.0
453.1269837220826,913.0
440.01428534987434,943.0
454.7422074112323,925.0
436.6000717875012,932.0
442.94321753800875,925.0
434.8427124746205,910.0
436.2569260369936,930.0
444.3574311003818,926.0
452.8427124746205,938.0
451.0853531617398,929.0
448.8427124746205,927.0
448.39906166072467,913.0
449.0853531617399,917.0
448.84271247462055,931.0
464.641702347844,910.0
449.9137802864861,917.0
434.11479041326254,926.0
466.641702347844,927.0
456.74220741123224,915.0
449.6711395993667,928.0
436.6000717875012,919.0
441.0853531617398,910.0
450.1564209736053,921.0
448.6000717875012,938.0
0.0,0.0
455.1858582251281,939.0
455.0853531617399,932.0
446.1147904132626,932.0
451.0853531617398,925.0
451.2274887854709,914.0
457.0853531617398,933.0
445.4284989122474,934.0
469.22748878547094,925.0
447.4284989122474,908.0
441.6711395993667,906.0
453.67113959936665,932.0
444.2569260369936,920.0
462.641702347844,911.0
445.67113959936677,929.0
442.2569260369936,937.0
461.42849891224745,938.0
0.0,0.0
453.2274887854709,932.0
446.2569260369936,924.0
439.2863632885163,930.0
441.18585822512813,934.0
443.4284989122474,910.0
452.641702347844,918.0
443.2863632885163,931.0
448.4995667241129,929.0
446.60007178750124,915.0
436.60007178750124,930.0
459.4701294725902,917.0
470.0559159102171,920.0
443.42849891224745,927.0
464.88434303496336,921.0
444.499566724113,920.0
442.3990616607246,916.0
444.01428534987434,930.0
448.641702347844,924.0
457.4284989122474,923.0
434.74220741123224,917.0
449.1858582251281,936.0
455.4284989122474,943.0
461.91378028648603,930.0
448.499566724113,916.0
463.2274887854709,910.0
0.0,0.0
443.77164466275497,925.0
447.5706345359784,917.0
445.6711395993667,924.0
459.57063453597846,934.0
445.67113959936677,926.0
451.08535316173976,922.0
455.42849891224733,921.0
0.0,0.0
444.0142853498742,913.0
447.91378028648603,925.0
438.1147904132626,932.0
441.3279938488591,906.0
448.39906166072467,928.0
444.0142853498743,923.0
465.57063453597846,945.0
448.9432175380088,927.0
446.6000717875012,926.0
441.77164466275497,929.0
453.18585822512813,928.0
447.57063453597846,914.0
452.0142853498743,928.0
436.8427124746205,916.0
450.4995667241129,927.0
447.1858582251281,934.0
437.52900397563565,936.0
447.1858582251281,937.0
433.4284989122474,915.0
448.499566724113,927.0
446.60007178750124,947.0
441.52900397563565,913.0
455.32799384885914,931.0
460.1147904132626,958.0
450.15642097360535,917.0
440.6000717875012,926.0
444.1564209736054,919.0
0.0,0.0
467.4701294725902,937.0
462.9848480983517,910.0
447.0853531617398,918.0
448.45793616377017,937.0
455.3279938488592,913.0
467.4701294725902,910.0
446.15642097360535,905.0
457.6711395993667,941.0
450.74220741123224,925.0
469.61226509632127,912.0
457.91378028648603,935.0
452.98484809835156,909.0
437.1858582251281,931.0
435.2863632885163,933.0
451.9137802864861,933.0
453.67113959936677,943.0
451.57063453597846,931.0
444.01428534987434,926.0
444.84271247462055,925.0
448.3574311003818,926.0
468.7422074112323,938.0
444.8427124746205,931.0
449.0853531617398,914.0
443.18585822512813,938.0
450.2569260369936,933.0
461.2274887854709,927.0
446.4579361637702,936.0
425.1858582251281,917.0
450.2569260369937,941.0
436.70057685088943,938.0
446.8427124746205,906.0
447.0853531617398,917.0
446.6000717875013,931.0
438.35743110038186,928.0
451.0853531617398,927.0
455.6711395993667,917.0
456.2569260369936,937.0
453.57063453597846,919.0
432.2569260369936,912.0
442.7422074112322,924.0
455.6711395993667,932.0
456.25692603699366,933.0
459.8132752230978,908.0
452.0142853498743,924.0
445.3868683519047,951.0
0.0,0.0
444.6000717875012,927.0
456.98484809835156,917.0
444.35743110038186,925.0
444.0142853498743,927.0
455.67113959936677,929.0
455.0853531617399,923.0
478.78383797157505,935.0
445.5706345359784,906.0
446.357431100382,936.0
439.52900397563565,944.0
441.6711395993667,913.0
450.2569260369936,921.0
452.7422074112323,930.0
443.91378028648603,922.0
448.3990616607246,909.0
445.6711395993667,920.0
